fast_period,slow_period,sharpe_ratio,annual_return,max_drawdown,calmar_ratio,total_trades
13,52,-39.722003071702716,0.028805237989448784,-0.08646487077991948,0.33314382742521237,10
7,50,-39.722254446014496,0.033660417052949754,-0.08395209856956912,0.40094789322099156,13
11,51,-39.72305517587047,0.030503207274024113,-0.08719475243669558,0.34982847501252784,10
14,44,-39.724910773046524,0.020928456649960125,-0.08293102250398986,0.2523598047878072,14
5,46,-39.726492130426564,0.028111782078865666,-0.11236785330990408,0.25017637385431746,19
18,49,-39.7270671451936,0.02721485555505776,-0.09512520479079539,0.2860951060753054,11
18,33,-39.7308769429884,0.012022956751889247,-0.10228278720170751,0.11754623706312664,16
17,44,-39.731980831798396,0.01669621772530938,-0.09828821326108661,0.16986998920164112,13
13,35,-39.73216194285024,0.018219675425124038,-0.09053203826360016,0.20125113467647998,15
5,39,-39.732371551574595,0.03373565926767519,-0.12019460375497465,0.2806753232986046,18
6,35,-39.733323524990965,0.03602194579050977,-0.11662611484199892,0.30886689348531476,19
5,47,-39.737332229437776,0.02879329903835437,-0.1096098211294828,0.2626890432048115,17
16,50,-39.7387204486827,0.02899401502063359,-0.0974819631281257,0.297429535580087,10
20,50,-39.74075687609329,0.017079437379630136,-0.10415863909907422,0.16397523553840232,11
18,51,-39.74240695707368,0.021405096610238594,-0.09514711586266311,0.22496842301699463,10
11,32,-39.74302789430669,0.022349196415327732,-0.08701935461306903,0.2568301789263237,19
13,44,-39.744285275506584,0.023363505144868846,-0.0779114342672043,0.29987261002976273,15
16,52,-39.7445595488227,0.031664195646929905,-0.09747164620047238,0.3248554516233917,10
6,48,-39.74557436480814,0.029312183488450216,-0.10896011067007731,0.2690175634751805,16
15,30,-39.750399106473935,0.02247021065673316,-0.0882364334361677,0.2546590992142564,16
16,49,-39.752645346566716,0.029446365797136664,-0.09748021525878743,0.3020753054244225,11
20,33,-39.75324556908001,0.014409362565848127,-0.09937132899470623,0.14500523150511302,17
20,49,-39.75422201798498,0.016274712202846153,-0.1041619613911265,0.15624429480292587,12
16,54,-39.755234299109254,0.03172691523685156,-0.10069339258577904,0.3150843806342499,9
16,53,-39.757761086494334,0.03101683284096879,-0.10069622662453206,0.3080237848099497,9
